week,Total Paid DAU,Pre-2026 DAU,2026 DAU,IN,US,BR,DE,ID,FR,MX,GB,IT,ES,PH,CA,PL,CO,NG,AR,ZA,EC,TR,NL,CL,AU,TH,GR,VN,FI,AT,SE,CH,BE,PT,KR,SG,GT,TW,NZ,NO,DK,MY,IE,PA,HR,SV,SI,AL,MK,XK,LU
Week 32,"1,428,265","439,869","988,396","273,841","109,073","72,718","62,164","60,091","38,509","34,313","25,122","22,811","20,433","20,688","18,131","17,389","17,710","17,893","15,157","16,653","13,277","12,229","11,958","11,308","9,728","9,215","6,949","6,836","5,999","5,151","4,922","4,904","4,950","4,310","4,243","4,125","4,251","3,039","2,946","2,261","2,141","2,161","1,925","1,793","1,576","1,493",885,573,341,207,5
Week 33,"1,434,265","435,341","998,924","276,687","109,858","73,293","62,792","60,276","38,811","34,571","25,464","23,000","20,651","21,240","18,388","17,532","18,042","18,191","15,465","16,823","13,679","12,377","12,023","11,606","10,022","9,400","7,039","7,012","6,143","5,202","4,964","4,858","4,970","4,402","4,256","4,099","4,407","3,098","2,938","2,281","2,188","2,158","1,928","1,813","1,586","1,420",884,558,328,196,6
Week 34,"1,440,236","430,899","1,009,337","279,467","110,661","73,863","63,422","60,505","39,117","34,832","25,801","23,191","20,868","21,766","18,642","17,676","18,362","18,466","15,761","16,998","14,064","12,521","12,091","11,892","10,309","9,580","7,129","7,178","6,285","5,254","5,006","4,815","4,991","4,491","4,273","4,078","4,555","3,155","2,932","2,301","2,233","2,159","1,931","1,832","1,596","1,353",884,545,316,186,6
Week 35,"1,446,127","426,541","1,019,586","282,166","111,474","74,422","64,052","60,765","39,425","35,091","26,134","23,384","21,082","22,269","18,893","17,822","18,671","18,719","16,046","17,176","14,432","12,660","12,161","12,168","10,588","9,753","7,218","7,336","6,424","5,305","5,048","4,775","5,014","4,578","4,291","4,062","4,696","3,211","2,926","2,320","2,277","2,161","1,935","1,851","1,607","1,291",884,534,304,176,7
Week 36,"1,451,905","422,264","1,029,642","284,777","112,292","74,968","64,679","61,048","39,733","35,348","26,462","23,577","21,293","22,751","19,141","17,968","18,970","18,953","16,319","17,354","14,785","12,796","12,233","12,434","10,860","9,921","7,306","7,487","6,560","5,357","5,090","4,738","5,037","4,663","4,311","4,048","4,831","3,266","2,922","2,340","2,320","2,164","1,940","1,869","1,617","1,234",885,523,294,168,7
Week 37,"1,457,550","418,064","1,039,486","287,296","113,111","75,501","65,304","61,348","40,041","35,602","26,785","23,770","21,502","23,212","19,386","18,113","19,258","19,170","16,582","17,532","15,124","12,927","12,306","12,691","11,125","10,083","7,393","7,629","6,695","5,409","5,133","4,703","5,061","4,745","4,332","4,037","4,960","3,319","2,919","2,360","2,363","2,168","1,944","1,888","1,628","1,181",885,514,284,160,8
Week 38,"1,463,048","413,938","1,049,109","289,722","113,928","76,019","65,925","61,659","40,348","35,850","27,102","23,962","21,707","23,654","19,627","18,258","19,536","19,371","16,835","17,708","15,451","13,055","12,380","12,938","11,384","10,240","7,479","7,765","6,827","5,461","5,175","4,670","5,086","4,825","4,353","4,028","5,083","3,371","2,917","2,380","2,404","2,174","1,949","1,906","1,639","1,131",886,505,275,153,8
Week 39,"1,468,392","409,885","1,058,507","292,057","114,740","76,522","66,542","61,977","40,653","36,094","27,414","24,153","21,908","24,078","19,864","18,402","19,806","19,558","17,079","17,882","15,765","13,179","12,454","13,177","11,636","10,393","7,564","7,895","6,957","5,512","5,217","4,638","5,111","4,904","4,376","4,021","5,201","3,422","2,915","2,399","2,444","2,180","1,954","1,923","1,650","1,085",887,497,266,146,9
Week 40,"1,471,186","405,902","1,065,284","293,985","115,581","76,960","67,107","61,767","40,926","36,234","27,658","24,334","21,997","24,440","20,091","18,503","20,032","19,662","17,277","17,983","16,079","13,238","12,523","13,375","11,873","10,503","7,622","8,012","7,054","5,325","5,258","4,647","4,879","4,965","4,385","3,986","5,301","3,459","2,906","2,393","2,481","2,143","1,953","1,918","1,653","1,041",878,488,257,140,9
Week 41,"1,475,206","401,986","1,073,219","296,043","116,398","77,413","67,687","61,912","41,210","36,428","27,927","24,517","22,144","24,812","20,317","18,623","20,269","19,795","17,488","18,124","16,377","13,330","12,594","13,583","12,108","10,629","7,692","8,127","7,162","5,249","5,300","4,640","4,770","5,032","4,404","3,971","5,404","3,500","2,901","2,400","2,518","2,131","1,955","1,927","1,660","1,000",873,481,249,134,9
